id,name,category,price tier ,neighborhood,opening hour,closing hour,average rating,good for kids
503,Le Bistro du Lac,French,expensive,Little Brazil,09:30,21:45,2.4,false
504,La Cuisine de la Riviere,French,medium,Times Square,16:15,22:30,4.7,false
505,Le Cafe du Temps,French,medium,Midtown,09:30,23:45,2.8,true
506,La Brasserie du Soleil,French,cheap,Times Square,13:00,20:00,2.1,false
507,Chez Gerard,French,expensive,Sutton Place,14:45,22:30,1.3,false
508,Le Bistrot de la Plaine,French,medium,Herald Square,11:45,22:00,3.6,true
509,La Table du Pique-Nique,French,cheap,Theater District,16:15,22:45,4.6,false
510,Le Cafe du Coin,French,medium,Times Square,17:45,23:30,4.3,false
511,La Petite Pizzeria,French,cheap,Times Square,16:15,22:45,3.6,false
512,Le Bistro du Port,French,expensive,Little Brazil,12:20,22:45,2.3,false
513,La Cuisine de la Campagne,French,cheap,Koreatown,16:15,21:45,4.8,true
514,Le Cafe du Marche,French,expensive,Sutton Place,11:45,21:45,4.1,false
515,La Brasserie du Village,French,cheap,Tenderloin,16:15,22:30,3.4,false
516,Chez Francois,French,medium,Hell's Kitchen,14:45,21:30,3.3,false
517,Le Bistrot de la Mer,French,medium,Garment District,17:45,21:45,2.2,true
518,La Table du Chef,French,expensive,Hudson Yards,18:00,20:00,4.9,false
519,Le Cafe de la Tour,French,medium,Herald Square,16:15,23:30,1.2,false
520,La Petite Creperie,French,medium,Midtown West,16:15,23:15,2.4,false
521,Le Petit Bistro,French,expensive,Turtle Bay,14:45,23:45,2.3,false
522,La Belle Epoque,French,expensive,Garment District,13:00,22:45,2.7,true
523,Chez Pierre,French,cheap,Koreatown,12:20,22:30,4.4,true
524,Le Coq au Vin,French,medium,Tenderloin,09:30,22:00,2.9,false
525,La Petite Brasserie,French,expensive,Midtown West,10:15,20:00,3.2,true
526,Le Chateau de Cuisine,French,medium,Tudor City,11:45,21:45,1.7,true
527,Cafe de Paris,French,expensive,Hell's Kitchen,10:15,23:30,2.1,true
528,Le Grenier,French,cheap,Turtle Bay,13:00,23:45,2.5,true
529,La Maison du Chef,French,expensive,Hell's Kitchen,10:15,23:30,4.3,false
530,Bistro du Soleil,French,medium,Tudor City,11:45,20:00,4.1,false
531,Le Jardin Secret,French,expensive,Herald Square,09:30,22:30,2.3,false
532,Brasserie de Provence,French,expensive,Tenderloin,14:45,23:30,4.7,false
533,Le Cafe Rouge,French,expensive,Rockefeller Center,10:15,23:45,3.3,true
534,La Table d'Or,French,medium,Rockefeller Center,13:00,21:45,3.9,false
535,Le Bistrot Chic,French,medium,Hudson Yards,15:30,22:30,4.2,true
536,La Cuisine de Marie,French,medium,Sutton Place,16:15,21:45,1.4,true
537,Le Petit Cafe,French,cheap,Tenderloin,10:15,21:45,4.8,true
538,La Brasserie Moderne,French,expensive,Sutton Place,17:45,21:45,2.2,false
539,Chez Marcel,French,medium,Tenderloin,14:45,20:00,2.0,true
540,Le Cafe du Monde,French,expensive,Diamond District,14:45,22:45,2.4,false
541,La Petite Auberge,French,cheap,Midtown West,13:00,20:45,4.3,true
542,Le Bistro Parisien,French,expensive,Midtown West,18:00,22:00,2.4,false
543,La Cantine Francaise,French,expensive,Midtown,14:45,23:45,4.8,false
544,Le Grand Gourmet,French,cheap,Herald Square,15:30,22:30,5.0,true
545,La Cuisine du Chef,French,medium,Times Square,12:20,21:45,1.9,true
546,Le Cafe des Artistes,French,cheap,Turtle Bay,14:45,20:45,1.7,true
547,La Brasserie Traditionnelle,French,medium,Turtle Bay,10:15,20:45,3.6,false
548,Chez Luc,French,cheap,Midtown,11:45,23:30,4.7,true
549,Le Bistrot de la Mer,French,medium,Madison Square,12:20,20:00,2.7,false
550,La Table du Chef,French,expensive,Midtown West,09:30,21:45,1.4,false
551,Le Cafe de la Tour,French,cheap,Garment District,11:45,21:30,1.0,true
552,La Petite Creperie,French,cheap,Midtown East,13:00,22:45,1.9,false
553,Le Bistro du Quartier,French,expensive,Midtown West,10:15,23:15,4.0,true
554,La Cuisine en Rose,French,cheap,Times Square,18:00,20:00,4.7,true
555,Le Cafe du Coin,French,expensive,Diamond District,11:45,20:45,3.3,false
556,La Brasserie du Port,French,cheap,Koreatown,17:45,21:45,2.5,false
557,Chez Antoine,French,medium,Madison Square,16:15,23:30,3.4,false
558,Le Bistrot de Campagne,French,expensive,Theater District,14:45,22:45,4.6,false
559,La Table Gourmande,French,cheap,Sutton Place,09:30,20:45,3.9,false
560,Le Cafe du Palais,French,medium,Columbus Circle,12:20,22:45,2.4,true
561,La Petite Patisserie,French,cheap,Midtown,16:15,20:45,3.4,true
562,Le Bistro de la Rue,French,cheap,Hell's Kitchen,11:45,23:45,3.1,false
563,La Cuisine de Provence,French,cheap,Tudor City,11:45,22:00,3.4,true
564,Le Cafe du Marche,French,expensive,Murray Hill,18:00,23:30,2.7,false
565,La Brasserie du Village,French,expensive,Tenderloin,15:30,21:45,1.8,false
566,Chez Olivier,French,medium,Diamond District,11:45,23:15,4.6,false
567,Le Bistrot de la Plage,French,cheap,Midtown West,10:15,22:30,1.8,true
568,La Table du Jardin,French,medium,Midtown East,11:45,22:45,2.3,true
569,Le Cafe du Temps,French,medium,Turtle Bay,14:45,21:30,3.6,true
570,La Petite Rotisserie,French,cheap,Madison Square,10:15,22:30,2.5,true
571,Le Bistro du Chateau,French,cheap,Tudor City,15:30,22:30,2.8,true
572,La Cuisine de la Mer,French,cheap,Diamond District,15:30,23:15,5.0,true
573,Le Cafe du Port,French,cheap,Midtown West,17:45,21:30,1.4,false
574,La Brasserie du Quartier,French,expensive,Sutton Place,17:45,21:45,1.3,false
575,Chez Paul,French,medium,Hell's Kitchen,15:30,22:00,3.2,false
576,Le Bistrot du Marche,French,medium,Sutton Place,10:15,21:45,1.2,false
577,La Table des Amis,French,cheap,Columbus Circle,11:45,20:00,2.4,false
578,Le Cafe du Soir,French,medium,Sutton Place,13:00,21:30,3.9,false
579,La Petite Boulangerie,French,cheap,Garment District,10:15,23:45,1.6,false
580,Le Bistro du Coin,French,expensive,Midtown East,18:00,20:45,3.1,false
581,La Cuisine du Terroir,French,cheap,Hudson Yards,15:30,23:30,2.8,false
582,Le Cafe du Soleil,French,medium,Herald Square,14:45,22:30,4.6,false
583,La Brasserie du Parc,French,cheap,Tenderloin,18:00,22:30,2.7,false
584,Chez Philippe,French,cheap,Murray Hill,11:45,21:45,4.5,true
585,Le Bistrot de la Montagne,French,expensive,Tudor City,16:15,20:45,1.5,false
586,La Table du Gourmet,French,medium,Madison Square,13:00,22:00,3.4,true
587,Le Cafe du Matin,French,medium,Turtle Bay,14:45,21:45,3.6,false
588,La Petite Fromagerie,French,medium,Columbus Circle,17:45,20:00,4.2,true
589,Le Bistro du Village,French,cheap,Herald Square,15:30,23:15,3.9,false
590,La Cuisine de la Campagne,French,medium,Tudor City,16:15,20:45,4.7,true
591,Le Cafe du Midi,French,medium,Garment District,09:30,22:00,3.7,false
592,La Brasserie du Chateau,French,expensive,Midtown,13:00,23:45,4.3,false
593,Chez Jacques,French,expensive,Rockefeller Center,18:00,21:45,3.8,true
594,Le Bistrot de la Riviere,French,cheap,Hell's Kitchen,16:15,22:45,4.7,false
595,La Table du Terroir,French,medium,Columbus Circle,10:15,22:00,5.0,true
596,Le Cafe du Printemps,French,medium,Tudor City,09:30,23:30,1.9,false
597,La Petite Charcuterie,French,medium,Tenderloin,11:45,20:45,2.9,false
598,Le Bistro du Marche,French,cheap,Madison Square,13:00,20:00,1.9,true
599,La Cuisine de la Montagne,French,medium,Columbus Circle,16:15,22:30,5.0,false
600,Le Cafe du Soir,French,medium,Hudson Yards,18:00,23:30,2.4,true
601,Korean Restaurant Team,Korean,medium,Midtown West,09:30,22:45,3.4,true
602,Korean Restaurant Crew,Korean,expensive,Sutton Place,18:00,23:15,2.7,false
603,Korean Restaurant Squad,Korean,medium,Tudor City,11:45,22:00,2.5,true
604,Korean Restaurant Posse,Korean,expensive,Columbus Circle,12:20,22:00,4.8,true
605,Korean Restaurant Gang,Korean,cheap,Times Square,15:30,22:30,2.0,false
606,Korean Restaurant Mob,Korean,expensive,Times Square,09:30,20:00,4.3,true
607,Korean Restaurant Mafia,Korean,cheap,Hudson Yards,18:00,20:00,3.0,false
608,Korean Restaurant Cartel,Korean,medium,Turtle Bay,18:00,21:45,3.0,true
609,Seoul Garden,Korean,cheap,Times Square,09:30,23:45,2.6,true
610,Kimchi House,Korean,cheap,Tudor City,09:30,22:00,1.1,true
611,Bibimbap Bistro,Korean,expensive,Hudson Yards,15:30,22:30,1.4,true
612,Gochujang Grill,Korean,expensive,Tudor City,15:30,20:00,3.2,true
613,Korean BBQ Express,Korean,cheap,Tenderloin,11:45,21:45,1.5,true
614,Han River Cafe,Korean,cheap,Sutton Place,10:15,22:45,4.9,true
615,K-Town Kitchen,Korean,expensive,Koreatown,13:00,20:45,2.0,false
616,Ginseng Garden,Korean,cheap,Midtown West,10:15,23:30,1.1,true
617,Banchan Buffet,Korean,cheap,Turtle Bay,11:45,20:00,2.0,false
618,Japchae Junction,Korean,expensive,Turtle Bay,14:45,22:00,2.5,false
619,Bulgogi Bar,Korean,medium,Turtle Bay,16:15,22:45,4.1,true
620,Korean Fried Chicken Co.,Korean,expensive,Tudor City,12:20,21:30,1.9,false
621,Korean Hot Pot House,Korean,medium,Midtown East,11:45,22:30,1.6,false
622,Tofu Soup Tavern,Korean,cheap,Herald Square,11:45,21:45,4.8,true
623,Korean Street Food Shack,Korean,expensive,Koreatown,14:45,21:45,2.0,false
624,Rice Cake Cafe,Korean,cheap,Hudson Yards,09:30,22:45,2.6,true
625,Spicy Pork Palace,Korean,medium,Theater District,14:45,22:30,1.8,true
626,Korean Noodle House,Korean,cheap,Garment District,17:45,23:15,1.9,true
627,Dumpling Den,Korean,expensive,Midtown East,11:45,20:00,1.6,true
628,Korean Pancake Parlor,Korean,cheap,Diamond District,09:30,21:45,2.0,true
629,Korean Rice Bowl Restaurant,Korean,cheap,Columbus Circle,15:30,22:45,2.3,true
630,Korean Seafood Spot,Korean,cheap,Tudor City,10:15,23:45,1.6,true
631,Korean Snack Stand,Korean,expensive,Turtle Bay,17:45,21:30,2.2,true
632,Korean Dessert Cafe,Korean,medium,Hell's Kitchen,15:30,23:30,3.7,true
633,Korean Tea House,Korean,expensive,Koreatown,17:45,23:15,3.7,true
634,Korean Fusion Food Truck,Korean,expensive,Midtown West,13:00,22:45,3.9,false
635,Korean Vegan Eatery,Korean,cheap,Koreatown,16:15,23:30,2.2,true
636,Korean Family Restaurant,Korean,cheap,Tenderloin,16:15,21:45,2.6,true
637,Korean Fast Casual Spot,Korean,cheap,Madison Square,12:20,20:45,4.0,false
638,Korean Fine Dining Establishment,Korean,expensive,Times Square,14:45,23:45,3.9,false
639,Korean Food Court Stall,Korean,cheap,Hell's Kitchen,14:45,23:15,1.0,true
640,Korean Buffet,Korean,expensive,Tenderloin,11:45,23:30,2.1,false
641,Korean Takeout Joint,Korean,medium,Garment District,11:45,22:30,3.2,false
642,Korean Delivery Service,Korean,expensive,Theater District,17:45,23:15,4.1,false
643,Korean Catering Company,Korean,cheap,Times Square,11:45,21:30,4.1,false
644,Korean Pop-Up Restaurant,Korean,cheap,Herald Square,12:20,21:45,1.8,true
645,Korean Food Festival Booth,Korean,medium,Theater District,15:30,22:00,4.6,true
646,Korean Food Truck Rally,Korean,expensive,Hudson Yards,14:45,23:30,2.0,false
647,Korean Restaurant Chain,Korean,medium,Little Brazil,16:15,23:15,2.6,false
648,Korean Restaurant Franchise,Korean,cheap,Sutton Place,09:30,22:45,1.9,false
649,Korean Restaurant Group,Korean,medium,Tenderloin,17:45,21:30,3.7,false
650,Korean Restaurant Collective,Korean,medium,Midtown West,11:45,21:30,3.2,false
651,Korean Restaurant Association,Korean,expensive,Rockefeller Center,17:45,23:45,4.3,false
652,Korean Restaurant Alliance,Korean,medium,Madison Square,13:00,22:30,2.1,false
653,Korean Restaurant Coalition,Korean,medium,Theater District,15:30,22:30,2.8,false
654,Korean Restaurant Union,Korean,cheap,Herald Square,16:15,23:45,3.4,false
655,Korean Restaurant Syndicate,Korean,medium,Theater District,13:00,23:30,4.5,false
656,Korean Restaurant Network,Korean,expensive,Koreatown,09:30,21:45,3.8,true
657,Korean Restaurant Society,Korean,cheap,Columbus Circle,16:15,21:45,1.3,true
658,Korean Restaurant Guild,Korean,medium,Times Square,17:45,21:45,3.1,false
659,Korean Restaurant Club,Korean,expensive,Little Brazil,14:45,20:00,4.1,false
660,Korean Restaurant Circle,Korean,medium,Midtown,15:30,20:45,4.4,false
661,Korean Restaurant League,Korean,expensive,Tenderloin,16:15,21:45,3.4,false
662,Korean Restaurant Team,Korean,expensive,Midtown,17:45,22:30,2.5,false
663,Korean Restaurant Crew,Korean,medium,Murray Hill,15:30,23:15,4.4,false
664,Korean Restaurant Squad,Korean,expensive,Midtown,18:00,23:15,1.2,false
665,Korean Restaurant Posse,Korean,medium,Tenderloin,14:45,20:45,2.2,true
666,Korean Restaurant Gang,Korean,cheap,Theater District,10:15,21:30,3.4,true
667,Korean Restaurant Mob,Korean,medium,Midtown,09:30,21:30,3.0,false
668,Korean Restaurant Mafia,Korean,medium,Columbus Circle,15:30,21:45,4.6,true
669,Korean Restaurant Cartel,Korean,expensive,Tenderloin,09:30,20:00,1.3,true
670,Korean Restaurant Syndicate,Korean,expensive,Midtown,11:45,21:45,4.0,true
671,Korean Restaurant Network,Korean,cheap,Murray Hill,14:45,21:45,3.4,false
672,Korean Restaurant Society,Korean,expensive,Koreatown,13:00,23:30,4.7,false
673,Korean Restaurant Guild,Korean,medium,Rockefeller Center,12:20,22:00,2.0,false
674,Korean Restaurant Club,Korean,medium,Hell's Kitchen,09:30,21:30,4.8,true
675,Korean Restaurant Circle,Korean,expensive,Midtown East,14:45,20:00,1.4,true
676,Korean Restaurant League,Korean,cheap,Sutton Place,16:15,23:15,2.7,true
677,Korean Restaurant Team,Korean,expensive,Columbus Circle,13:00,22:00,4.7,true
678,Korean Restaurant Crew,Korean,medium,Diamond District,11:45,23:30,1.8,true
679,Korean Restaurant Squad,Korean,medium,Garment District,13:00,22:45,3.4,true
680,Korean Restaurant Posse,Korean,medium,Madison Square,15:30,23:30,3.3,false
681,Korean Restaurant Gang,Korean,expensive,Tudor City,15:30,21:30,2.9,true
682,Korean Restaurant Mob,Korean,expensive,Diamond District,17:45,23:15,4.2,false
683,Korean Restaurant Mafia,Korean,cheap,Columbus Circle,14:45,23:30,1.0,true
684,Korean Restaurant Cartel,Korean,expensive,Herald Square,10:15,22:00,2.5,true
685,Seoul Garden,Korean,medium,Koreatown,18:00,23:45,3.8,true
686,Kimchi House,Korean,medium,Herald Square,12:20,20:45,2.0,true
687,Bibimbap Bistro,Korean,cheap,Sutton Place,11:45,23:45,2.3,false
688,Gochujang Grill,Korean,medium,Koreatown,16:15,20:00,2.0,false
689,Korean BBQ Express,Korean,cheap,Tenderloin,17:45,21:30,2.8,false
690,Han River Cafe,Korean,cheap,Turtle Bay,14:45,23:45,3.2,true
691,K-Town Kitchen,Korean,cheap,Times Square,11:45,22:00,1.0,true
692,Ginseng Garden,Korean,medium,Columbus Circle,18:00,23:30,4.9,false
693,Banchan Buffet,Korean,cheap,Rockefeller Center,14:45,20:00,2.5,true
694,Japchae Junction,Korean,expensive,Tenderloin,13:00,23:45,2.6,false
695,Bulgogi Bar,Korean,cheap,Midtown West,15:30,20:00,3.3,true
696,Korean Fried Chicken Co.,Korean,medium,Theater District,13:00,21:30,2.3,true
697,Korean Hot Pot House,Korean,medium,Herald Square,18:00,21:45,1.2,true
698,Tofu Soup Tavern,Korean,cheap,Hell's Kitchen,12:20,23:15,3.5,false
699,Korean Street Food Shack,Korean,medium,Hudson Yards,09:30,22:30,2.4,true
700,Rice Cake Cafe,Korean,medium,Columbus Circle,18:00,23:45,3.9,true
701,Thai Orchid,Thai,medium,Hudson Yards,14:45,21:30,1.0,false
702,Thai Orchid,Thai,expensive,Herald Square,12:20,22:00,2.0,false
703,Thai Orchid,Thai,cheap,Murray Hill,11:45,23:15,3.1,false
704,Thai Orchid,Thai,medium,Times Square,15:30,20:45,2.3,false
705,Thai Orchid,Thai,expensive,Sutton Place,10:15,22:00,3.3,false
706,Thai Orchid,Thai,expensive,Tenderloin,18:00,21:45,4.9,false
707,Thai Orchid,Thai,cheap,Tudor City,12:20,23:15,1.5,true
708,Thai Orchid,Thai,cheap,Sutton Place,10:15,20:45,4.8,false
709,Thai Orchid,Thai,cheap,Theater District,10:15,22:00,2.2,true
710,Thai Orchid,Thai,cheap,Midtown East,12:20,20:00,5.0,false
711,Thai Orchid,Thai,cheap,Koreatown,09:30,20:45,3.0,false
712,Thai Orchid,Thai,expensive,Theater District,14:45,22:30,1.4,false
713,Thai Orchid,Thai,cheap,Herald Square,13:00,22:30,4.0,true
714,Thai Orchid,Thai,cheap,Herald Square,17:45,20:45,3.4,true
715,Thai Orchid,Thai,cheap,Midtown,10:15,23:30,4.0,true
716,Thai Orchid,Thai,cheap,Rockefeller Center,12:20,22:00,2.5,true
717,Thai Orchid,Thai,expensive,Midtown,14:45,22:45,2.7,false
718,Thai Orchid,Thai,medium,Koreatown,15:30,22:45,1.5,true
719,Thai Orchid,Thai,cheap,Times Square,14:45,22:45,2.2,false
720,Thai Orchid,Thai,medium,Columbus Circle,12:20,22:45,4.3,false
721,Thai Orchid,Thai,medium,Garment District,13:00,20:00,1.2,false
722,Thai Orchid,Thai,cheap,Hudson Yards,15:30,22:45,3.4,false
723,Thai Orchid,Thai,expensive,Diamond District,16:15,22:00,4.1,true
724,Thai Orchid,Thai,expensive,Hell's Kitchen,15:30,22:00,1.4,false
725,Thai Orchid,Thai,medium,Koreatown,14:45,20:45,4.2,true
726,Thai Orchid,Thai,medium,Koreatown,11:45,20:45,1.7,true
727,Thai Orchid,Thai,medium,Little Brazil,18:00,23:15,1.4,false
728,Thai Orchid,Thai,cheap,Hudson Yards,12:20,20:00,3.7,false
729,Thai Orchid,Thai,cheap,Garment District,14:45,20:00,2.3,true
730,Thai Orchid,Thai,medium,Little Brazil,13:00,22:45,2.3,true
731,Thai Orchid,Thai,medium,Herald Square,12:20,22:45,2.1,false
732,Thai Orchid,Thai,cheap,Hell's Kitchen,14:45,23:15,2.5,true
733,Thai Orchid,Thai,cheap,Hell's Kitchen,10:15,22:30,3.7,false
734,Thai Orchid,Thai,expensive,Madison Square,17:45,20:45,3.1,false
735,Thai Orchid,Thai,expensive,Rockefeller Center,18:00,22:45,2.0,false
736,Thai Orchid,Thai,medium,Little Brazil,14:45,21:30,3.7,false
737,Thai Orchid,Thai,expensive,Midtown East,11:45,22:30,3.2,true
738,Thai Orchid,Thai,cheap,Murray Hill,14:45,23:15,4.3,true
739,Thai Orchid,Thai,medium,Tudor City,09:30,20:00,2.2,false
740,Thai Orchid,Thai,cheap,Sutton Place,17:45,22:45,4.6,false
741,Thai Orchid,Thai,expensive,Koreatown,12:20,22:45,4.8,true
742,Thai Orchid,Thai,cheap,Midtown East,18:00,20:00,3.0,true
743,Thai Orchid,Thai,medium,Midtown,10:15,20:00,3.4,false
744,Thai Orchid,Thai,cheap,Sutton Place,18:00,21:45,2.2,false
745,Thai Orchid,Thai,expensive,Theater District,10:15,23:30,3.6,false
746,Thai Orchid,Thai,expensive,Herald Square,11:45,23:15,3.5,true
747,Thai Orchid,Thai,medium,Midtown West,15:30,20:00,4.3,true
748,Thai Orchid,Thai,expensive,Murray Hill,14:45,23:15,1.2,true
749,Thai Orchid,Thai,cheap,Little Brazil,13:00,21:45,3.7,true
750,Thai Orchid,Thai,cheap,Tenderloin,10:15,22:45,3.8,true
